timestamp,predicted_class,confidence,accepted,arduino_command,vad_ms,preprocess_ms,inference_ms,decision_ms,serial_ms,ack_ms,total_ms,fps_inference,fps_total
2026-05-17T23:35:44,LUCES_ON,1.0000,True,LUZ_ON,3596.76,516.12,3122.32,1.26,0.00,0.00,7242.17,0.32,0.14
2026-05-17T23:36:40,LUCES_ON,1.0000,True,LUZ_ON,4250.01,44.78,223.31,0.10,0.00,0.00,4519.21,4.48,0.22
2026-05-17T23:36:50,LUCES_OFF,1.0000,True,LUZ_OFF,8478.59,34.62,185.42,0.08,0.00,0.00,8699.60,5.39,0.11
2026-05-17T23:36:54,BOMBA_REGAR,0.9991,True,BOMBA_REGAR,3477.53,25.77,168.37,0.07,0.00,0.00,3672.55,5.94,0.27
2026-05-17T23:36:58,AIRE_ON,0.9999,True,AIRE_ON,3898.60,52.99,215.66,0.10,0.00,0.00,4168.19,4.64,0.24
2026-05-17T23:37:01,AIRE_OFF,1.0000,True,AIRE_OFF,2078.46,38.90,231.37,0.10,0.00,0.00,2349.87,4.32,0.43
2026-05-17T23:39:26,LUCES_ON,1.0000,True,LUZ_ON,3301.76,461.32,3401.94,1.35,1.10,46.84,7216.36,0.29,0.14
2026-05-17T23:39:31,LUCES_OFF,1.0000,True,LUZ_OFF,3671.66,72.96,375.38,0.09,0.23,51.38,4175.91,2.66,0.24
2026-05-17T23:39:34,AIRE_ON,0.9998,True,AIRE_ON,1893.66,80.33,284.29,0.30,0.42,51.96,2317.17,3.52,0.43
2026-05-17T23:39:38,AIRE_OFF,0.9999,True,AIRE_OFF,3321.66,66.09,292.70,0.39,0.28,55.52,3739.39,3.42,0.27
2026-05-17T23:39:41,BOMBA_REGAR,0.9999,True,BOMBA_REGAR,1727.30,77.35,254.58,0.13,0.38,103.21,2166.99,3.93,0.46
2026-05-18T01:15:39,LUCES_ON,1.0000,True,LUZ_ON,38147.53,592.63,2633.03,2.41,0.00,0.00,41377.13,0.38,0.02
2026-05-18T01:15:41,LUCES_ON,0.9235,True,LUZ_ON,568.04,49.20,476.38,0.58,0.00,0.00,1096.73,2.10,0.91
2026-05-18T01:15:44,RUIDO_FONDO,0.9747,False,--,1969.90,104.60,393.17,0.27,0.00,0.00,2468.75,2.54,0.41
2026-05-18T01:15:49,RUIDO_FONDO,0.9791,False,--,4642.66,83.11,321.58,0.13,0.00,0.00,5048.60,3.11,0.20
2026-05-18T01:15:57,RUIDO_FONDO,0.9983,False,--,6786.13,80.85,565.70,0.11,0.00,0.00,7434.33,1.77,0.13
2026-05-18T01:16:06,RUIDO_FONDO,0.9998,False,--,7546.66,54.97,256.87,0.09,0.00,0.00,7859.87,3.89,0.13
2026-05-18T01:16:10,RUIDO_FONDO,0.9976,False,--,3729.73,23.63,119.28,0.09,0.00,0.00,3873.39,8.38,0.26
2026-05-18T01:16:19,RUIDO_FONDO,1.0000,False,--,7954.13,26.24,159.44,0.10,0.00,0.00,8140.41,6.27,0.12
2026-05-18T01:16:22,RUIDO_FONDO,0.8606,False,--,2112.18,22.49,154.17,0.07,0.00,0.00,2289.57,6.49,0.44
2026-05-18T01:16:28,RUIDO_FONDO,1.0000,False,--,5420.98,64.70,299.25,0.11,0.00,0.00,5785.81,3.34,0.17
2026-05-18T01:16:33,RUIDO_FONDO,0.5868,False,--,4528.60,27.27,129.25,0.07,0.00,0.00,4685.39,7.74,0.21
2026-05-18T01:16:40,RUIDO_FONDO,0.9970,False,--,6140.37,50.78,199.81,0.07,0.00,0.00,6391.32,5.00,0.16
2026-05-18T01:16:53,RUIDO_FONDO,0.9998,False,--,12496.82,25.47,162.13,0.07,0.00,0.00,12684.65,6.17,0.08
2026-05-18T01:17:03,RUIDO_FONDO,0.7633,False,--,9710.24,25.04,134.98,0.07,0.00,0.00,9870.49,7.41,0.10
2026-05-18T01:17:06,RUIDO_FONDO,0.9030,False,--,2138.34,30.78,141.81,0.06,0.00,0.00,2311.28,7.05,0.43
2026-05-18T01:17:07,RUIDO_FONDO,0.9265,False,--,574.39,22.41,121.81,0.06,0.00,0.00,718.83,8.21,1.39
2026-05-18T01:17:17,RUIDO_FONDO,0.9999,False,--,8904.62,50.22,370.41,0.07,0.00,0.00,9325.70,2.70,0.11
2026-05-18T01:17:24,RUIDO_FONDO,1.0000,False,--,5819.72,33.17,148.56,0.07,0.00,0.00,6001.82,6.73,0.17
2026-05-18T01:17:42,RUIDO_FONDO,0.9999,False,--,16666.75,65.38,605.25,0.15,0.00,0.00,17338.25,1.65,0.06
2026-05-18T01:17:43,RUIDO_FONDO,1.0000,False,--,1019.18,60.54,225.46,0.11,0.00,0.00,1305.72,4.44,0.77
2026-05-18T01:17:50,RUIDO_FONDO,0.8457,False,--,5857.14,21.24,109.80,0.07,0.00,0.00,5988.56,9.11,0.17
2026-05-18T01:18:15,RUIDO_FONDO,1.0000,False,--,24218.79,109.29,259.38,0.10,0.00,0.00,24588.29,3.86,0.04
2026-05-18T01:18:17,RUIDO_FONDO,0.9997,False,--,778.77,117.36,194.03,0.07,0.00,0.00,1090.56,5.15,0.92
2026-05-18T01:18:20,RUIDO_FONDO,0.9996,False,--,3085.30,41.43,174.28,0.08,0.00,0.00,3301.76,5.74,0.30
2026-05-18T01:18:27,LUCES_ON,0.9225,True,LUZ_ON,6131.08,26.42,193.28,0.08,0.00,0.00,6352.06,5.17,0.16
2026-05-18T01:18:31,LUCES_ON,0.7171,False,LUZ_ON,2674.26,28.02,151.63,0.07,0.00,0.00,2854.36,6.60,0.35
2026-05-18T01:18:37,RUIDO_FONDO,0.5126,False,--,5518.71,72.52,660.51,0.16,0.00,0.00,6253.76,1.51,0.16
2026-05-18T01:18:39,RUIDO_FONDO,1.0000,False,--,603.09,40.69,291.87,0.10,0.00,0.00,936.39,3.43,1.07
2026-05-18T01:19:04,RUIDO_FONDO,1.0000,False,--,24123.00,27.19,179.04,0.07,0.00,0.00,24329.94,5.59,0.04
2026-05-18T01:19:07,RUIDO_FONDO,1.0000,False,--,2390.17,20.17,116.63,0.07,0.00,0.00,2527.71,8.57,0.40
2026-05-18T01:19:11,RUIDO_FONDO,0.9605,False,--,3359.89,16.41,104.46,0.06,0.00,0.00,3481.18,9.57,0.29
2026-05-18T01:19:14,RUIDO_FONDO,1.0000,False,--,2677.40,24.47,114.36,0.07,0.00,0.00,2816.80,8.74,0.36
2026-05-18T01:19:16,RUIDO_FONDO,0.9987,False,--,1308.43,39.27,228.91,0.08,0.00,0.00,1577.48,4.37,0.63
2026-05-18T01:19:17,RUIDO_FONDO,0.9999,False,--,528.39,26.68,177.30,0.10,0.00,0.00,733.30,5.64,1.36
2026-05-18T01:19:21,RUIDO_FONDO,1.0000,False,--,2786.18,21.18,151.71,0.06,0.00,0.00,2959.39,6.59,0.34
2026-05-18T01:19:24,RUIDO_FONDO,1.0000,False,--,2322.77,36.61,249.18,0.09,0.00,0.00,2611.74,4.01,0.38
2026-05-18T01:19:26,RUIDO_FONDO,0.9985,False,--,655.30,80.47,399.08,0.09,0.00,0.00,1136.05,2.51,0.88
2026-05-18T01:19:26,RUIDO_FONDO,0.9997,False,--,12.05,43.98,248.96,0.12,0.00,0.00,305.92,4.02,3.27
2026-05-18T01:19:28,RUIDO_FONDO,0.9991,False,--,1149.93,34.39,143.93,0.06,0.00,0.00,1329.41,6.95,0.75
2026-05-18T01:19:30,RUIDO_FONDO,0.9725,False,--,868.75,39.66,180.00,0.17,0.00,0.00,1089.28,5.56,0.92
2026-05-18T01:19:31,LUCES_OFF,0.7198,False,LUZ_OFF,475.28,49.83,237.11,0.07,0.00,0.00,762.61,4.22,1.31
2026-05-18T01:19:34,RUIDO_FONDO,0.9992,False,--,1759.29,22.35,149.42,0.06,0.00,0.00,1931.75,6.69,0.52
2026-05-18T01:19:35,RUIDO_FONDO,0.9999,False,--,823.63,41.40,143.64,0.06,0.00,0.00,1009.29,6.96,0.99
2026-05-18T01:19:37,RUIDO_FONDO,1.0000,False,--,1012.11,23.06,124.69,0.06,0.00,0.00,1160.12,8.02,0.86
2026-05-18T01:19:41,RUIDO_FONDO,0.9987,False,--,3199.77,26.65,166.78,0.11,0.00,0.00,3394.07,6.00,0.29
2026-05-18T01:20:15,RUIDO_FONDO,0.9993,False,--,33401.83,53.18,207.25,0.10,0.00,0.00,33663.04,4.83,0.03
2026-05-18T01:20:18,RUIDO_FONDO,1.0000,False,--,2486.52,46.31,221.57,0.11,0.00,0.00,2755.69,4.51,0.36
2026-05-18T01:20:19,RUIDO_FONDO,0.9357,False,--,224.11,57.12,268.17,0.07,0.00,0.00,550.10,3.73,1.82
2026-05-18T01:20:24,RUIDO_FONDO,0.9846,False,--,4118.65,41.24,161.31,0.06,0.00,0.00,4321.59,6.20,0.23
2026-05-18T01:20:25,RUIDO_FONDO,0.9048,False,--,6.16,36.69,166.53,0.06,0.00,0.00,209.61,6.00,4.77
2026-05-18T01:20:26,RUIDO_FONDO,1.0000,False,--,1082.74,28.31,154.62,0.09,0.00,0.00,1266.15,6.47,0.79
2026-05-18T01:20:36,RUIDO_FONDO,0.8898,False,--,8464.94,33.32,172.96,0.07,0.00,0.00,8671.88,5.78,0.12
2026-05-18T01:20:38,BOMBA_REGAR,0.9994,True,BOMBA_REGAR,1941.73,61.69,264.26,0.08,0.00,0.00,2268.82,3.78,0.44
2026-05-18T01:20:48,BOMBA_REGAR,0.9807,True,BOMBA_REGAR,8519.15,57.59,272.58,0.09,0.00,0.00,8850.28,3.67,0.11
2026-05-18T01:20:51,RUIDO_FONDO,0.9140,False,--,2560.09,64.79,346.48,0.07,0.00,0.00,2972.33,2.89,0.34
2026-05-18T01:20:53,AIRE_ON,0.4960,False,AIRE_ON,727.08,54.63,440.39,0.07,0.00,0.00,1222.78,2.27,0.82
2026-05-18T01:20:57,RUIDO_FONDO,0.8560,False,--,2848.10,71.89,381.64,0.08,0.00,0.00,3302.88,2.62,0.30
2026-05-18T01:21:44,RUIDO_FONDO,0.9997,False,--,46788.97,27.53,212.37,0.06,0.00,0.00,47029.11,4.71,0.02
2026-05-18T01:21:50,RUIDO_FONDO,1.0000,False,--,4407.53,64.94,588.82,0.09,0.00,0.00,5061.65,1.70,0.20
2026-05-18T01:21:51,LUCES_ON,0.8996,True,LUZ_ON,488.64,31.45,438.75,0.15,0.00,0.00,959.82,2.28,1.04
2026-05-18T01:21:53,RUIDO_FONDO,0.9885,False,--,1268.96,60.68,351.28,0.07,0.00,0.00,1682.22,2.85,0.59
2026-05-18T01:22:03,RUIDO_FONDO,1.0000,False,--,8385.53,35.26,174.49,0.06,0.00,0.00,8596.02,5.73,0.12
